inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,55091,198.18.0.33,443,192.168.5.2,55092,103.216.253.85,2061,198.18.0.1,55091,198.18.0.33,443,39794,31857008,125,80.549955,166.76595600000002,14,rr1---sn-n4v7snee.googlevideo.com,192.168.5.2,55092,103.216.253.85,2061,18113,14821970,103,80.820975,166.882257,14
198.18.0.1,55099,198.18.0.40,443,192.168.5.2,55100,103.216.253.85,2061,198.18.0.1,55099,198.18.0.40,443,71,14636,128,83.494074,163.820738,11,play.google.com,192.168.5.2,55100,103.216.253.85,2061,74,22120,106,83.765274,164.041089,11
198.18.0.1,55105,198.18.0.50,443,192.168.5.2,55106,103.216.253.85,2061,198.18.0.1,55105,198.18.0.50,443,61,18100,130,99.184771,148.13716900000003,7,safebrowsing.googleapis.com,192.168.5.2,55106,103.216.253.85,2061,54,20277,110,99.455771,148.360132,5
198.18.0.1,55131,198.18.0.49,443,192.168.5.2,55132,120.232.217.159,2061,198.18.0.1,55131,198.18.0.49,443,68,12295,140,136.592562,110.72215400000002,9,beacons.gcp.gvt2.com,192.168.5.2,55132,120.232.217.159,2061,63,23541,118,136.863285,110.94541,9
198.18.0.1,55157,198.18.0.26,443,192.168.5.2,55158,221.5.100.174,2061,198.18.0.1,55157,198.18.0.26,443,39,8084,148,168.20301,79.11194699999999,7,android.clients.google.com,192.168.5.2,55158,221.5.100.174,2061,45,15495,127,168.473945,79.33156000000002,7
198.18.0.1,55173,198.18.0.29,443,192.168.5.2,55174,221.5.100.174,2061,198.18.0.1,55173,198.18.0.29,443,459,335355,154,184.510009,62.80497600000001,13,i.ytimg.com,192.168.5.2,55174,221.5.100.174,2061,300,196822,133,184.780767,62.91612599999999,14
198.18.0.1,55175,198.18.0.32,443,192.168.5.2,55176,221.5.100.174,2061,198.18.0.1,55175,198.18.0.32,443,39,8934,155,184.526902,62.78818799999999,7,fonts.gstatic.com,192.168.5.2,55176,221.5.100.174,2061,44,13763,134,184.797536,63.002748,7
198.18.0.1,55177,198.18.0.32,443,192.168.5.2,55178,221.5.100.174,2061,198.18.0.1,55177,198.18.0.32,443,10,2784,156,184.834429,0.1391260000000045,1,fonts.gstatic.com,192.168.5.2,55178,221.5.100.174,2061,17,4550,135,185.105401,0.4392990000000054,1
198.18.0.1,55179,198.18.0.29,443,192.168.5.2,55180,221.5.100.174,2061,198.18.0.1,55179,198.18.0.29,443,25,5963,157,184.937474,60.69874999999999,4,i.ytimg.com,192.168.5.2,55180,221.5.100.174,2061,30,9204,136,185.208565,60.927447,4
198.18.0.1,55229,198.18.0.56,443,192.168.5.2,55230,221.5.100.174,2061,198.18.0.1,55229,198.18.0.56,443,6768,5499704,174,244.303539,3.012349999999998,6,rr3---sn-n4v7snee.googlevideo.com,192.168.5.2,55230,221.5.100.174,2061,3497,2808897,149,244.574492,3.227260000000001,6
198.18.0.1,55233,198.18.0.39,443,192.168.5.2,55234,120.232.217.159,2061,198.18.0.1,55233,198.18.0.39,443,101,67900,176,245.636262,1.6783410000000174,7,yt3.ggpht.com,192.168.5.2,55234,120.232.217.159,2061,100,56957,151,245.906931,1.8926600000000064,7
198.18.0.1,55235,198.18.0.39,443,192.168.5.2,55236,120.232.217.159,2061,198.18.0.1,55235,198.18.0.39,443,10,2808,177,245.95698,0.1302690000000268,1,yt3.ggpht.com,192.168.5.2,55236,120.232.217.159,2061,16,4317,152,246.228269,0.4441899999999918,1
198.18.0.1,55240,198.18.0.57,443,192.168.5.2,55246,119.188.204.71,443,198.18.0.1,55240,198.18.0.57,443,18,6948,181,246.312877,0.0677990000000079,4,analytics.immersivetranslate.com,192.168.5.2,55246,119.188.204.71,443,15,6631,154,246.606767,0.043374,4
198.18.0.1,55242,198.18.0.57,443,192.168.5.2,55244,119.188.204.71,443,198.18.0.1,55242,198.18.0.57,443,38,12007,183,246.325351,1.0014119999999878,6,analytics.immersivetranslate.com,192.168.5.2,55244,119.188.204.71,443,34,11882,153,246.606764,0.9890399999999886,6
