,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows,label
35,198.18.0.1,59208,198.18.0.91,443,192.168.5.2,59209,221.5.100.174,2011,198.18.0.1,59208,198.18.0.91,443,70,12141,113,11.246083,235.696255,7,pixel.spotify.com,192.168.5.2,59209,221.5.100.174,2011,62,16574,89,11.25029,235.73686,7,audio
36,198.18.0.1,59212,198.18.0.115,443,192.168.5.2,59213,221.5.100.174,2011,198.18.0.1,59212,198.18.0.115,443,18,7904,116,11.522539,0.0935260000000006,3,web-sdk-assets.spotifycdn.com,192.168.5.2,59213,221.5.100.174,2011,20,10830,90,11.526265,0.1322709999999993,3,audio
37,198.18.0.1,59214,198.18.0.115,443,192.168.5.2,59215,221.5.100.174,2011,198.18.0.1,59214,198.18.0.115,443,10220,8148437,117,11.525675,235.417065,20,web-sdk-assets.spotifycdn.com,192.168.5.2,59215,221.5.100.174,2011,3976,4082098,91,11.529846,235.456531,20,audio
38,198.18.0.1,59220,198.18.0.135,443,192.168.5.2,59221,221.5.100.174,2011,198.18.0.1,59220,198.18.0.135,443,2510,1979987,122,12.74824,234.19536,10,video-akpcw.spotifycdn.com,192.168.5.2,59221,221.5.100.174,2011,941,978023,92,12.752454,234.234759,10,audio
39,198.18.0.1,59224,198.18.0.122,443,192.168.5.2,59225,221.5.100.174,2011,198.18.0.1,59224,198.18.0.122,443,66,17284,129,15.954932,230.988606,6,seektables.scdn.co,192.168.5.2,59225,221.5.100.174,2011,56,17670,93,15.958408,231.028067,6,audio
40,198.18.0.1,59226,198.18.0.124,443,192.168.5.2,59227,221.5.100.174,2011,198.18.0.1,59226,198.18.0.124,443,11873,9455639,130,16.206791,230.736781,54,audio-ak-spotify-com.akamaized.net,192.168.5.2,59227,221.5.100.174,2011,3964,4294668,94,16.210489,230.77718,54,audio
41,198.18.0.1,60224,198.18.0.81,443,192.168.5.2,60225,221.5.100.174,2011,198.18.0.1,60224,198.18.0.81,443,74,43507,36,5.37565,8.192333999999999,8,open.spotify.com,192.168.5.2,60225,221.5.100.174,2011,67,40294,30,5.424862,8.229239,8,audio
42,198.18.0.1,60223,198.18.0.81,443,192.168.5.2,60226,221.5.100.174,2011,198.18.0.1,60223,198.18.0.81,443,16,5963,35,5.375431,8.189356,3,open.spotify.com,192.168.5.2,60226,221.5.100.174,2011,19,7743,31,5.425946,8.22536,3,audio
43,198.18.0.1,60228,198.18.0.83,443,192.168.5.2,60236,221.5.100.174,2011,198.18.0.1,60228,198.18.0.83,443,1453,1161069,39,5.883492,7.685103,6,encore.scdn.co,192.168.5.2,60236,221.5.100.174,2011,585,610463,34,5.936251,7.717934999999999,6,audio
44,198.18.0.1,60227,198.18.0.83,443,192.168.5.2,60235,221.5.100.174,2011,198.18.0.1,60227,198.18.0.83,443,16,7072,38,5.883201,0.0938350000000003,2,encore.scdn.co,192.168.5.2,60235,221.5.100.174,2011,17,7937,33,5.935975,0.1409950000000002,2,audio
