,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
41,198.18.0.1,60835,198.18.0.35,443,192.168.5.2,60836,183.240.139.64,2011,198.18.0.1,60835,198.18.0.35,443,785,596071,82,16.903561,29.845486,9,clients6.google.com,192.168.5.2,60836,183.240.139.64,2011,347,329918,70,16.90579,29.885811,9
42,198.18.0.1,60837,198.18.0.37,443,192.168.5.2,60838,183.240.139.64,2011,198.18.0.1,60837,198.18.0.37,443,53,26511,83,16.971189,29.77797,8,drivefrontend-pa.clients6.google.com,192.168.5.2,60838,183.240.139.64,2011,56,33241,71,16.972876,29.820244,8
43,198.18.0.1,60839,198.18.0.40,443,192.168.5.2,60840,183.240.139.64,2011,198.18.0.1,60839,198.18.0.40,443,101,67548,84,17.010823,29.738795,7,waa-pa.clients6.google.com,192.168.5.2,60840,183.240.139.64,2011,65,51578,72,17.012777,29.777504,7
44,198.18.0.1,60841,198.18.0.39,443,192.168.5.2,60842,183.240.139.64,2011,198.18.0.1,60841,198.18.0.39,443,53,26957,85,17.03256,29.717089,7,ogads-pa.clients6.google.com,192.168.5.2,60842,183.240.139.64,2011,43,24929,73,17.034478,29.754947,7
45,198.18.0.1,60843,198.18.0.42,443,192.168.5.2,60844,183.240.139.64,2011,198.18.0.1,60843,198.18.0.42,443,56,29818,86,17.593858,29.156192,9,people-pa.clients6.google.com,192.168.5.2,60844,183.240.139.64,2011,51,30695,74,17.595579999999998,29.201676,9
46,198.18.0.1,60845,198.18.0.43,443,192.168.5.2,60846,183.240.139.64,2011,198.18.0.1,60845,198.18.0.43,443,50,21319,87,17.870128,28.876258,9,addons-pa.clients6.google.com,192.168.5.2,60846,183.240.139.64,2011,43,25142,75,17.872474,28.911249,9
47,198.18.0.1,60847,198.18.0.43,443,192.168.5.2,60848,183.240.139.64,2011,198.18.0.1,60847,198.18.0.43,443,50,24248,88,18.491626,28.257081000000003,7,addons-pa.clients6.google.com,192.168.5.2,60848,183.240.139.64,2011,46,25692,77,18.493315,28.299833000000003,7
48,198.18.0.1,60849,198.18.0.107,443,192.168.5.2,60850,183.240.139.64,2011,198.18.0.1,60849,198.18.0.107,443,49,24542,89,19.141883,27.60538,7,lh5.googleusercontent.com,192.168.5.2,60850,183.240.139.64,2011,40,22591,78,19.143672,27.643521000000003,7
49,198.18.0.1,60851,198.18.0.34,443,192.168.5.2,60852,183.240.139.64,2011,198.18.0.1,60851,198.18.0.34,443,34,13979,90,19.219857,27.527263,5,fonts.gstatic.com,192.168.5.2,60852,183.240.139.64,2011,35,17273,79,19.221486,27.580062,5
50,198.18.0.1,60853,198.18.0.108,443,192.168.5.2,60854,183.240.139.64,2011,198.18.0.1,60853,198.18.0.108,443,38,14436,91,20.192622,26.554376,7,drive.usercontent.google.com,192.168.5.2,60854,183.240.139.64,2011,39,18738,80,20.194334,26.597236,7
51,198.18.0.1,60855,198.18.0.44,443,192.168.5.2,60856,183.240.139.64,2011,198.18.0.1,60855,198.18.0.44,443,65,39304,92,20.537597,26.209015,7,ogs.google.com,192.168.5.2,60856,183.240.139.64,2011,60,39862,81,20.539352,26.250958,7
52,198.18.0.1,60857,198.18.0.45,443,192.168.5.2,60858,183.240.139.64,2011,198.18.0.1,60857,198.18.0.45,443,55,27556,93,20.784475,25.965519,9,youtube.googleapis.com,192.168.5.2,60858,183.240.139.64,2011,53,32911,82,20.786212,26.012307,9
53,198.18.0.1,60859,198.18.0.108,443,192.168.5.2,60860,183.240.139.64,2011,198.18.0.1,60859,198.18.0.108,443,39,16081,94,20.860331,25.889551,7,drive.usercontent.google.com,192.168.5.2,60860,183.240.139.64,2011,43,21699,83,20.862479,25.929895,7
54,198.18.0.1,60861,198.18.0.32,443,192.168.5.2,60862,183.240.139.64,2011,198.18.0.1,60861,198.18.0.32,443,36,14428,95,20.86676,25.883379,7,ssl.gstatic.com,192.168.5.2,60862,183.240.139.64,2011,35,18315,84,20.869123,25.924045000000003,7
55,198.18.0.1,60863,198.18.0.46,443,192.168.5.2,60864,183.240.139.64,2011,198.18.0.1,60863,198.18.0.46,443,300,216274,96,20.873061,25.876665000000003,15,docs.google.com,192.168.5.2,60864,183.240.139.64,2011,170,138761,85,20.875106,25.913265,13
56,198.18.0.1,60865,198.18.0.47,443,192.168.5.2,60866,183.240.139.64,2011,198.18.0.1,60865,198.18.0.47,443,843,666501,97,21.15522,25.592886,13,contacts.google.com,192.168.5.2,60866,183.240.139.64,2011,398,379803,86,21.157496,25.6388,13
57,198.18.0.1,60867,198.18.0.48,443,192.168.5.2,60868,183.240.139.64,2011,198.18.0.1,60867,198.18.0.48,443,70,23633,98,21.453006,25.296779000000004,13,signaler-pa.clients6.google.com,192.168.5.2,60868,183.240.139.64,2011,63,27642,87,21.454599,25.343888,13
58,198.18.0.1,60869,198.18.0.48,443,192.168.5.2,60870,183.240.139.64,2011,198.18.0.1,60869,198.18.0.48,443,69,29472,99,22.056375,24.693078000000003,11,signaler-pa.clients6.google.com,192.168.5.2,60870,183.240.139.64,2011,61,33583,88,22.058374,24.73795,11
59,198.18.0.1,60881,198.18.0.109,443,192.168.5.2,60882,183.240.139.64,2011,198.18.0.1,60881,198.18.0.109,443,51,28338,103,40.88719,5.839190000000002,7,sb-ssl.google.com,192.168.5.2,60882,183.240.139.64,2011,49,30345,92,40.888842,5.880344000000001,7
60,198.18.0.1,60885,198.18.0.111,443,192.168.5.2,60886,183.240.139.64,2011,198.18.0.1,60885,198.18.0.111,443,44,23925,105,41.377428,5.371435999999996,7,peoplestack-pa.clients6.google.com,192.168.5.2,60886,183.240.139.64,2011,34,21636,94,41.378956,5.409506999999998,7
61,198.18.0.1,60883,198.18.0.110,443,192.168.5.2,60884,183.240.139.64,2011,198.18.0.1,60883,198.18.0.110,443,45,21140,104,41.374973,5.373834000000002,7,peoplestackwebexperiments-pa.clients6.google.com,192.168.5.2,60884,183.240.139.64,2011,34,22969,93,41.376844,5.412616,7
62,198.18.0.1,60887,198.18.0.111,443,192.168.5.2,60888,183.240.139.64,2011,198.18.0.1,60887,198.18.0.111,443,52,26507,106,41.842294,4.905313,7,peoplestack-pa.clients6.google.com,192.168.5.2,60888,183.240.139.64,2011,44,24358,95,41.844029,4.9472920000000045,7
63,198.18.0.1,60889,198.18.0.110,443,192.168.5.2,60890,183.240.139.64,2011,198.18.0.1,60889,198.18.0.110,443,54,26767,107,41.892115,4.858214000000004,7,peoplestackwebexperiments-pa.clients6.google.com,192.168.5.2,60890,183.240.139.64,2011,43,26334,96,41.893964,4.8984550000000056,7
64,198.18.0.1,60997,198.18.0.9,443,192.168.5.2,60998,221.5.100.174,2011,198.18.0.1,60997,198.18.0.9,443,37,14535,6,1.149295,10.494189,7,clientservices.googleapis.com,192.168.5.2,60998,221.5.100.174,2011,32,16433,6,1.104631,10.528145,7
65,198.18.0.1,61000,198.18.0.10,443,192.168.5.2,61009,221.5.100.174,2011,198.18.0.1,61000,198.18.0.10,443,2664,1960942,11,3.382865,8.487532999999999,42,accounts.google.com,192.168.5.2,61009,221.5.100.174,2011,1117,1122786,7,3.33847,8.52167,42
66,198.18.0.1,61001,198.18.0.11,443,192.168.5.2,61010,221.5.100.174,2011,198.18.0.1,61001,198.18.0.11,443,43,17216,12,3.383509,8.262652,9,www.google.com,192.168.5.2,61010,221.5.100.174,2011,41,22334,9,3.338475,8.298625000000001,9
67,198.18.0.1,61030,198.18.0.10,443,192.168.5.2,61031,221.5.100.174,2011,198.18.0.1,61030,198.18.0.10,443,39,15415,22,3.565733,8.081594,7,accounts.google.com,192.168.5.2,61031,221.5.100.174,2011,35,18186,20,3.520947,8.116825,7
68,198.18.0.1,61040,198.18.0.16,443,192.168.5.2,61041,221.5.100.174,2011,198.18.0.1,61040,198.18.0.16,443,32,12056,29,3.77866,7.868886999999999,7,www.googleapis.com,192.168.5.2,61041,221.5.100.174,2011,31,16166,23,3.742674,7.895183,7
69,198.18.0.1,61046,198.18.0.27,443,192.168.5.2,61047,221.5.100.174,2011,198.18.0.1,61046,198.18.0.27,443,98,42595,32,5.496732,6.150986,17,optimizationguide-pa.googleapis.com,192.168.5.2,61047,221.5.100.174,2011,78,44696,27,5.450595,6.187313,17
70,198.18.0.1,61049,198.18.0.28,443,192.168.5.2,61050,221.5.100.174,2011,198.18.0.1,61049,198.18.0.28,443,37,18578,34,5.500818,6.146427,7,drive.google.com,192.168.5.2,61050,221.5.100.174,2011,34,19919,28,5.45464,6.183160999999999,7
