,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
26,198.18.0.1,60148,198.18.0.28,443,192.168.5.2,60149,103.166.52.49,2011,198.18.0.1,60148,198.18.0.28,443,7733,6065138,46,10.455665,58.294087000000005,97,drive.google.com,192.168.5.2,60149,103.166.52.49,2011,3138,3125994,34,10.45706,58.33188200000001,93
27,198.18.0.1,60146,198.18.0.28,443,192.168.5.2,60147,103.166.52.49,2011,198.18.0.1,60146,198.18.0.28,443,35,16037,45,10.453499,58.298785,4,drive.google.com,192.168.5.2,60147,103.166.52.49,2011,32,15394,33,10.455143,58.339553,4
28,198.18.0.1,60150,198.18.0.10,443,192.168.5.2,60151,103.166.52.49,2011,198.18.0.1,60150,198.18.0.10,443,2306,1710445,47,10.908486,57.841094,31,accounts.google.com,192.168.5.2,60151,103.166.52.49,2011,906,945752,35,10.909766,57.878220000000006,31
29,198.18.0.1,60152,198.18.0.33,443,192.168.5.2,60153,103.166.52.49,2011,198.18.0.1,60152,198.18.0.33,443,128,84285,48,11.489209,57.259542,9,lh3.googleusercontent.com,192.168.5.2,60153,103.166.52.49,2011,88,66628,36,11.490779,57.29733999999999,9
30,198.18.0.1,60154,198.18.0.34,443,192.168.5.2,60155,103.166.52.49,2011,198.18.0.1,60154,198.18.0.34,443,317,225030,49,11.510978,57.238382,15,fonts.gstatic.com,192.168.5.2,60155,103.166.52.49,2011,177,148546,37,11.5129,57.281959,15
31,198.18.0.1,60156,198.18.0.32,443,192.168.5.2,60157,103.166.52.49,2011,198.18.0.1,60156,198.18.0.32,443,641,454357,50,11.526276,57.223586,47,ssl.gstatic.com,192.168.5.2,60157,103.166.52.49,2011,388,322546,38,11.527719,57.26127400000001,49
33,198.18.0.1,60164,198.18.0.11,443,192.168.5.2,60165,103.166.52.49,2011,198.18.0.1,60164,198.18.0.11,443,105,56342,53,12.436691,56.311823,13,www.google.com,192.168.5.2,60165,103.166.52.49,2011,79,45735,41,12.438699,56.36015999999999,13
34,198.18.0.1,60166,198.18.0.19,443,192.168.5.2,60167,103.166.52.49,2011,198.18.0.1,60166,198.18.0.19,443,51,20481,54,14.400155,54.349161,7,clients4.google.com,192.168.5.2,60167,103.166.52.49,2011,43,20850,42,14.402334,54.385613000000006,7
35,198.18.0.1,60169,198.18.0.41,443,192.168.5.2,60171,103.166.52.49,2011,198.18.0.1,60169,198.18.0.41,443,339,182317,56,14.433286,54.317356,51,play.google.com,192.168.5.2,60171,103.166.52.49,2011,361,216196,43,14.435245,54.365345,51
36,198.18.0.1,60168,198.18.0.41,443,192.168.5.2,60170,103.166.52.49,2011,198.18.0.1,60168,198.18.0.41,443,10,2357,55,14.433081,0.0989740000000001,1,play.google.com,192.168.5.2,60170,103.166.52.49,2011,18,11747,44,14.435251,0.1025550000000006,2
38,198.18.0.1,60173,198.18.0.30,443,192.168.5.2,60175,103.166.52.49,2011,198.18.0.1,60173,198.18.0.30,443,337,252056,58,14.514805,54.234322000000006,9,apis.google.com,192.168.5.2,60175,103.166.52.49,2011,168,147667,46,14.516204,54.27847299999999,9
39,198.18.0.1,60180,198.18.0.36,443,192.168.5.2,60181,103.166.52.49,2011,198.18.0.1,60180,198.18.0.36,443,890,657908,61,15.092589,53.657741,37,www.gstatic.com,192.168.5.2,60181,103.166.52.49,2011,448,414748,49,15.094194,53.700607000000005,37
40,198.18.0.1,60182,198.18.0.37,443,192.168.5.2,60185,103.166.52.49,2011,198.18.0.1,60182,198.18.0.37,443,128,35256,62,15.12959,53.619465,34,drivefrontend-pa.clients6.google.com,192.168.5.2,60185,103.166.52.49,2011,121,53388,51,15.131503,53.656596,34
41,198.18.0.1,60183,198.18.0.37,443,192.168.5.2,60184,103.166.52.49,2011,198.18.0.1,60183,198.18.0.37,443,35,21264,63,15.129712,0.1029689999999998,3,drivefrontend-pa.clients6.google.com,192.168.5.2,60184,103.166.52.49,2011,25,16587,50,15.131491,0.1459189999999992,3
42,198.18.0.1,60186,198.18.0.37,443,192.168.5.2,60187,103.166.52.49,2011,198.18.0.1,60186,198.18.0.37,443,10,2346,64,15.155014,0.0778189999999998,1,drivefrontend-pa.clients6.google.com,192.168.5.2,60187,103.166.52.49,2011,22,15935,52,15.158074,0.0954360000000011,2
43,198.18.0.1,60189,198.18.0.36,443,192.168.5.2,60190,103.166.52.49,2011,198.18.0.1,60189,198.18.0.36,443,10,2261,66,15.184774,0.0427629999999989,1,www.gstatic.com,192.168.5.2,60190,103.166.52.49,2011,15,5064,54,15.186661,0.0935089999999991,1
44,198.18.0.1,60188,198.18.0.36,443,192.168.5.2,60191,103.166.52.49,2011,198.18.0.1,60188,198.18.0.36,443,11,2409,65,15.184602,0.0429600000000007,1,www.gstatic.com,192.168.5.2,60191,103.166.52.49,2011,15,4700,53,15.186659,0.0935469999999991,1
