Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
192.168.5.2,62032,221.5.100.174,2064,17,5009,43,9,4413,8,596,5.589431,0.4154409999999995,84979,11476,1
192.168.5.2,62034,221.5.100.174,2064,17,4343,44,9,3807,8,536,5.589431,0.4006309999999997,76020,10703,1
192.168.5.2,62036,221.5.100.174,2064,17,4080,46,9,3544,8,536,5.607276,1.516934,18690,2826,1
192.168.5.2,62067,221.5.100.174,2064,18,4163,62,9,3561,9,602,9.357969,0.432893,65808,11125,1
192.168.5.2,62069,221.5.100.174,2064,17,4387,63,9,3791,8,596,9.357969,0.4331239999999994,70021,11008,1
192.168.5.2,62068,221.5.100.174,2064,14,4391,64,8,3951,6,440,9.35797,0.3992109999999993,79176,8817,1
192.168.5.2,62079,221.5.100.174,2064,17,4967,67,9,4431,8,536,9.759041,0.4590580000000006,77219,9340,1
192.168.5.2,54702,120.53.53.53,443,7,409,68,4,247,3,162,9.931008,0.0232119999999991,85128,55833,1
192.168.5.2,62109,221.5.100.174,2064,15,3860,80,8,3390,7,470,11.273232,0.3899059999999998,69555,9643,1
192.168.5.2,62137,221.5.100.174,2064,17,5399,91,9,4863,8,536,12.401657,1.4394749999999998,27026,2978,1
192.168.5.2,51122,116.205.106.69,11114,10,663,106,5,297,5,366,38.453615,240.111584,9,12,1
192.168.5.2,62193,119.145.128.139,6881,13,3018,108,12,2944,1,74,43.726815,19.226288,1224,30,1
192.168.5.2,50925,20.198.162.78,443,2,121,118,1,55,1,66,67.219914,0.088560000000001,4968,5962,1
192.168.5.2,62259,119.145.128.139,6881,13,1219,134,12,1145,1,74,114.058343,19.24050000000001,476,30,1
192.168.5.2,62267,27.212.119.142,6881,8,612,137,5,406,3,206,124.251986,0.049436,65701,33336,1
192.168.5.2,62305,119.145.128.139,6881,13,1520,147,12,1446,1,74,184.399619,19.199993000000006,602,30,1
192.168.5.2,56410,1.92.89.108,443,9,703,152,9,703,0,0,198.082392,19.192184999999995,293,0,1
192.168.5.2,56407,223.109.118.4,443,3,186,153,2,132,1,54,198.083213,0.0111249999999927,94921,38831,1
192.168.5.2,62349,27.212.119.142,6881,8,612,166,5,406,3,206,244.481478,0.0501149999999768,64810,32884,1
192.168.5.2,62363,119.145.128.139,6881,13,1219,178,12,1145,1,74,254.68312,19.20803600000002,476,30,1
192.168.5.2,61930,10.208.44.70,7680,3,222,11,3,222,0,0,1.931493,3.026587,586,0,0
192.168.5.2,62023,157.0.148.1,80,9,526,39,5,290,4,236,5.505829,0.0405249999999997,57248,46588,0
192.168.5.2,62170,157.0.148.1,80,10,580,102,6,344,4,236,15.505878,0.3501480000000008,7859,5392,0
192.168.5.2,62182,157.0.148.1,80,10,580,103,6,344,4,236,25.506592,0.3577079999999988,7693,5278,0
192.168.5.2,62185,120.133.65.232,443,3,222,104,3,222,0,0,31.491932,3.013812999999999,589,0,0
192.168.5.2,62188,157.0.148.1,80,9,526,105,5,290,4,236,35.508131,0.0442040000000005,52483,42711,0
192.168.5.2,62191,10.201.205.213,7680,3,222,107,3,222,0,0,42.010961,3.005004999999997,591,0,0
192.168.5.2,62196,157.0.148.1,80,9,526,109,5,290,4,236,45.517528,0.0426280000000005,54424,44290,0
192.168.5.2,62204,157.0.148.1,80,9,526,111,5,290,4,236,55.576375,0.042546999999999,54527,44374,0
192.168.5.2,62218,157.0.148.1,80,9,526,117,5,290,4,236,65.523461,0.0482920000000035,48041,39095,0
192.168.5.2,62228,157.0.148.1,80,7,418,122,4,236,3,182,75.586988,0.0270039999999909,69915,53917,0
192.168.5.2,62245,10.208.151.193,7680,3,222,130,3,222,0,0,82.237716,3.0232869999999963,587,0,0
192.168.5.2,62248,157.0.148.1,80,9,526,131,5,290,4,236,85.543839,0.0402129999999942,57692,46949,0
192.168.5.2,62252,157.0.148.1,80,9,526,132,5,290,4,236,95.587138,0.0439599999999984,52775,42948,0
192.168.5.2,62256,157.0.148.1,80,9,526,133,5,290,4,236,105.551508,0.0398360000000082,58238,47394,0
192.168.5.2,62262,157.0.148.1,80,9,526,135,5,290,4,236,115.625178,0.0402529999999927,57635,46903,0
192.168.5.2,62270,157.0.148.1,80,10,580,138,6,344,4,236,125.593922,0.347461999999993,7920,5433,0
192.168.5.2,62276,157.0.148.1,80,9,526,139,5,290,4,236,135.648565,0.0394490000000189,58810,47859,0
